,file,img_type,exptime,ccd_temp,ff_geometry,crop_geometry,offset,min,max,signal,std_dev,signal-offset,read(DN)
6,Bias.1x1.-30.00C.00034314.fit,bias,0.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,980,3805,1028.192348,10.476702164655446,0.0005885000000489526,10.09920004749726
9,Bias.1x1.-30.00C.00034313.fit,bias,0.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,982,1078,1028.191171,9.721697930339074,-0.0005885000000489526,10.09920004749726
32,Dark.60.000secs.1x1.-30.00C.00034316.fit,dark,60.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,983,27239,1029.703937,28.63690953472513,1.512177500000007,10.09920004749726
60,Dark.60.000secs.1x1.-30.00C.00034315.fit,dark,60.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,981,27139,1029.666624,28.566136498354552,1.474864499999967,10.09920004749726
26,Dark.300.000secs.1x1.-30.00C.00034317.fit,dark,300.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,992,57103,1035.450934,63.602451639285434,7.259174499999972,10.09920004749726
36,Dark.300.000secs.1x1.-30.00C.00034318.fit,dark,300.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,990,57187,1035.828447,64.64743441597811,7.636687500000107,10.09920004749726
27,Dark.600.000secs.1x1.-30.00C.00034319.fit,dark,600.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,992,65535,1042.642728,82.87541779513401,14.450968500000045,10.09920004749726
49,Dark.600.000secs.1x1.-30.00C.00034320.fit,dark,600.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,991,65535,1043.053073,83.33151153229294,14.861313500000051,10.09920004749726
22,Dark.900.000secs.1x1.-30.00C.00034321.fit,dark,900.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,1001,65535,1050.092134,97.16759859812346,21.900374499999998,10.09920004749726
29,Dark.900.000secs.1x1.-30.00C.00034322.fit,dark,900.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,994,65535,1050.507533,97.29310759377518,22.315773499999978,10.09920004749726
