,file,img_type,exptime,ccd_temp,ff_geometry,crop_geometry,offset,min,max,signal,std_dev,signal-offset,data,read(DN)
6,Bias.1x1.-30.00C.00034314.fit,bias,0.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,980,3805,1028.192348,10.476702164655446,0.0005885000000489526,"[[1031 1036 1023 ... 1029 1015 1021]
 [1035 1048 1019 ... 1022 1010 1021]
 [1031 1014 1022 ... 1039 1034 1019]
 ...
 [1026 1033 1017 ... 1018 1023 1028]
 [1037 1027 1008 ... 1025 1013 1018]
 [1021 1015 1006 ... 1036 1033 1029]]",10.09920004749726
9,Bias.1x1.-30.00C.00034313.fit,bias,0.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,982,1078,1028.191171,9.721697930339074,-0.0005885000000489526,"[[1032 1034 1024 ... 1018 1026 1020]
 [1023 1026 1023 ... 1033 1035 1030]
 [1028 1015 1018 ... 1019 1016 1030]
 ...
 [1031 1023 1030 ... 1028 1026 1033]
 [1019 1037 1033 ... 1040 1034 1029]
 [1016 1034 1023 ... 1040 1046 1047]]",10.09920004749726
32,Dark.60.000secs.1x1.-30.00C.00034316.fit,dark,60.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,983,27239,1029.703937,28.63690953472513,1.512177500000007,"[[1029 1026 1044 ... 1040 1026 1018]
 [1028 1026 1024 ... 1028 1040 1027]
 [1042 1013 1060 ... 1033 1031 1031]
 ...
 [1022 1032 1040 ... 1037 1028 1036]
 [1038 1018 1033 ... 1025 1036 1025]
 [1018 1026 1048 ... 1028 1025 1044]]",10.09920004749726
60,Dark.60.000secs.1x1.-30.00C.00034315.fit,dark,60.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,981,27139,1029.666624,28.566136498354552,1.474864499999967,"[[1042 1035 1026 ... 1039 1023 1023]
 [1025 1050 1029 ... 1044 1043 1014]
 [1044 1028 1017 ... 1032 1033 1035]
 ...
 [1013 1036 1027 ... 1041 1022 1039]
 [1025 1049 1024 ... 1035 1025 1033]
 [1026 1031 1019 ... 1023 1033 1034]]",10.09920004749726
26,Dark.300.000secs.1x1.-30.00C.00034317.fit,dark,300.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,992,57103,1035.450934,63.602451639285434,7.259174499999972,"[[1049 1034 1043 ... 1028 1044 1020]
 [1020 1042 1027 ... 1023 1024 1030]
 [1021 1025 1029 ... 1020 1016 1039]
 ...
 [1030 1060 1037 ... 1024 1051 1026]
 [1048 1030 1030 ... 1059 1026 1023]
 [1017 1019 1043 ... 1014 1039 1029]]",10.09920004749726
36,Dark.300.000secs.1x1.-30.00C.00034318.fit,dark,300.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,990,57187,1035.828447,64.64743441597811,7.636687500000107,"[[1033 1033 1030 ... 1023 1042 1044]
 [1018 1031 1038 ... 1031 1044 1029]
 [1030 1040 1023 ... 1029 1038 1040]
 ...
 [1041 1045 1033 ... 1047 1040 1032]
 [1023 1043 1035 ... 1061 1055 1030]
 [1037 1026 1031 ... 1030 1043 1022]]",10.09920004749726
27,Dark.600.000secs.1x1.-30.00C.00034319.fit,dark,600.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,992,65535,1042.642728,82.87541779513401,14.450968500000045,"[[1054 1050 1051 ... 1036 1032 1040]
 [1059 1041 1028 ... 1039 1052 1017]
 [1044 1063 1026 ... 1048 1056 1025]
 ...
 [1024 1062 1039 ... 1057 1058 1041]
 [1029 1054 1022 ... 1064 1053 1048]
 [1030 1019 1033 ... 1036 1030 1037]]",10.09920004749726
49,Dark.600.000secs.1x1.-30.00C.00034320.fit,dark,600.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,991,65535,1043.053073,83.33151153229294,14.861313500000051,"[[1029 1059 1032 ... 1032 1039 1041]
 [1039 1047 1046 ... 1046 1056 1042]
 [1028 1052 1032 ... 1023 1031 1058]
 ...
 [1050 1041 1034 ... 1051 1031 1048]
 [1035 1034 1036 ... 1083 1044 1037]
 [1043 1039 1025 ... 1024 1066 1034]]",10.09920004749726
22,Dark.900.000secs.1x1.-30.00C.00034321.fit,dark,900.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,1001,65535,1050.092134,97.16759859812346,21.900374499999998,"[[1028 1036 1031 ... 1044 1052 1058]
 [1035 1037 1066 ... 1039 1036 1038]
 [1057 1044 1051 ... 1054 1031 1033]
 ...
 [1050 1053 1052 ... 1039 1037 1069]
 [1076 1057 1052 ... 1126 1050 1049]
 [1061 1045 1059 ... 1044 1055 1052]]",10.09920004749726
29,Dark.900.000secs.1x1.-30.00C.00034322.fit,dark,900.0,-30.0,"(3600, 4500)","(1000, 1000)",1028.1917595,994,65535,1050.507533,97.29310759377518,22.315773499999978,"[[1038 1040 1050 ... 1043 1056 1052]
 [1052 1051 1053 ... 1067 1055 1057]
 [1046 1053 1052 ... 1046 1050 1049]
 ...
 [1041 1060 1083 ... 1057 1049 1070]
 [1042 1043 1037 ... 1132 1080 1054]
 [1046 1050 1041 ... 1048 1053 1028]]",10.09920004749726
